ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Max Speed (km/hr),Track Gauge (mm),Overhead?,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2021 dollars),Cost/km (2021 dollars),Source2,Reference,,
7697,CN,Shanghai,Line 11,Line 11 Huaqiao,2010,2013,0,6,0.00%,0,6,0,3,,80,1435,1,Wiki,"1,849.00",CNY,2013,0.2729522102,504.78,84.1,0,0,0,0,1.163176037,587.1,97.9,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A11%E5%8F%B7%E7%BA%BF,,
,CN,Taizhou,Line S2,Line S2 South Segment,2021,2025,0,6,0%,0,,6,1,92,80,1435,1,,"1,879.00",CNY,2021,0.238814981,449.081,74.8,0,0,0,0,1,449.1,74.8,,http://www.rail-transit.com/project/show.php?itemid=711,,
7602,DE,Frankfurt,U-Bahn Europaviertel,,2019,2025,0,2.7,52.00%,1.4,,,4,,80,1435,0,Measured,374,EUR,2022,1.373037929,485.55,179.8,0,0,0,0,1,485.6,179.8,Media,https://www.fnp.de/frankfurt/frankfurt-u-bahn-u5-verlaengerung-spaeter-teurer-wegen-eva-zr-13449222.html,,
7418,FR,Paris,Line 4,Line 4 to Bagneux,2014,2021,0,1.8,100.00%,1.8,0,0,2,,70,1435,0,Plan,380,EUR,2011,1.188550456,494,274.4,0,0,0,0,1.204637702,595.1,330.6,Plan,http://www.prolongement-m4.fr/sites/default/files/documents/m4-bagneux-dossierpresse_180316_bd.pdf,,
,US,Chicago,Orange Line,Orange Line,1987,1993,0,14.4,7%,1,3,10.4,7,120,80,1435,0,Measured,500,USD,1990,1,500,34.7,0,0,0,1,2.073221117,"1,036.60",72,Trade,https://www.chicago-l.org/history/CTA4.html,,
8097,CN,Changchun,,Line 4 Southern Extension,2007,2011,0,4,75.00%,3,0,1,6,,80,1435,1,Plan,"2,013.00",CNY,2018,0.2364514501,477.08,119.3,0,0,0,0,1.079101738,514.8,128.7,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201812/W020190905514226164270.pdf,,
9819,US,Miami,,Metrorail extension to MIA,2009,2012,0,3.9,0.00%,0,3.9,0,1,,75,1435,0,Plan,506,USD,2010,1,506,129.7,0,0,0,1,1.242662435,628.8,161.2,Plan,https://www.miamidade.gov/transit/improvement-airportlink.asp,,
,IT,Naples,,Line 1/MCNE (Piscinola-Secondigliano),1999,2023,0,3.3,100.00%,3.3,0,0,4,110,80,1435,0,wiki,391,EUR,2010,1.293379964,508.3,154,1,3.3,3.3,0,1.242662435,631.6,191.4,plan,https://www.regione.campania.it/assets/documents/delibera-20-2017.pdf,,
9501,TR,Istanbul,M4,M4 Phase 3,2015,2022,0,7.5,100.00%,7.5,0,0,4,180,120,1435,1,Plan,170,EUR,2018,0.6125161551,510,68,1,7.5,7.5,0,1.079101738,550.3,73.4,Plan,https://www.metro.istanbul/Hatlarimiz/ProjeHalindekiHatlar?projeInsaat=0&q=36,,
7474,FR,Lyon,Line B,Line B to Hospital-Sud,2017,2023,0,2.5,100.00%,2.5,0,0,2,,80,1435,0,Plan,394,EUR,2020,1.407736922,512.2,204.9,0,0,0,0,1.046980229,536.3,214.5,Plan,http://www.oullins.fr/territoire-d-avenir/prolongement-du-metro-b-382.html,,
,KR,Seoul,Sinbundang,Sinbundang Phase 3 Section 1,2022,2027,0,4.19,100.00%,4.19,,,1,200,90,1435,1,,"427,100",KRW,2021,0.001170828447,512.52,122.3,1,4.19,4.19,0,1,512.5,122.3,,engdaily.com/news/articleView.html?idxno=14873,,
,IT,Milan,M1,M1 (Bisceglie - Baggio),2022,2027,0,3.3,100.00%,3.3,0,0,3,110,90,1435,1,plan,396,EUR,2025,1.598933192,514.8,156,1,3.3,3.3,0,1,514.8,156,plan,https://www.comune.milano.it/aree-tematiche/mobilita/strade-e-sottosuolo/prolungamento-m1-quartiere-baggio-olmi-valsesia,,
7257,IT,Rome,Line C,Line C - section T6a,2007,2013,0,2.8,100.00%,2.8,0,0,4,,80,1435,1,Plan,399,EUR,2010,1.293379964,518.7,185.3,1,2.8,2.8,0,1.242662435,644.6,230.2,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf,,
7448,ES,Barcelona,,Terrassa tunnel,2008,2015,0,4.5,100.00%,4.5,0,0,3,,80,1445,1,Plan,401,EUR,2011,1.400307227,521.3,115.8,1,4.5,4.5,0,1.204637702,628,139.6,Plan,https://govern.cat/govern/docs/2012/10/03/12/36/6b33e55c-7ef4-4200-8517-97c7501d026e.pdf,,
